Starting Point,Optimizer,Learning Rate,Final x,Final f(x),Iterations,Status
-2.3,Momentum,0.01,0.9684779574195018,3.5744518772620713,273,Converged
-2.3,Momentum,0.05,15.10771291852098,19.56317675575028,10000,Hit max_iter (not converged)
-2.3,Momentum,0.1,251.9750308202759,20.033180098402315,10000,Hit max_iter (not converged)
-2.3,RMSprop,0.01,-1.9744519910350755,6.559645375627877,56,Converged
-2.3,RMSprop,0.05,-1.9981146966967804,6.588733806636029,10000,Hit max_iter (not converged)
-2.3,RMSprop,0.1,-2.0184820182188394,6.661309306469903,10000,Hit max_iter (not converged)
-2.3,Adagrad,0.01,-1.9744534168802297,6.559645375731545,1696,Converged
-2.3,Adagrad,0.05,-1.9744520483332868,6.559645375628072,94,Converged
-2.3,Adagrad,0.1,-1.9744519954728166,6.5596453756278805,25,Converged
-2.3,Adam,0.01,-1.9744513907994146,6.559645375645857,257,Converged
-2.3,Adam,0.05,-1.9744505399446841,6.559645375733901,230,Converged
-2.3,Adam,0.1,-1.974456521593495,6.559645376669973,206,Converged
3.5,Gradient Descent,0.01,2.979223959509455,9.00109347829201,15,Converged
3.5,Gradient Descent,0.05,-0.2196705311811436,2.3693998740044475,10000,Hit max_iter (not converged)
3.5,Gradient Descent,0.1,0.20160217872364372,2.15956336325975,10000,Hit max_iter (not converged)
3.5,Momentum,0.01,-0.9684777183814183,3.574451877257854,308,Converged
3.5,Momentum,0.05,-125.11613899554123,20.611083603041706,10000,Hit max_iter (not converged)
3.5,Momentum,0.1,-539.0482186977962,20.121025906716095,10000,Hit max_iter (not converged)
3.5,RMSprop,0.01,2.9792239592899272,9.001093478292008,68,Converged
3.5,RMSprop,0.05,2.953144821180182,9.034895098496275,10000,Hit max_iter (not converged)
3.5,RMSprop,0.1,2.9244092972070272,9.141385027841869,10000,Hit max_iter (not converged)
3.5,Adagrad,0.01,2.979225621254679,9.0010934784354,2098,Converged
3.5,Adagrad,0.05,2.9792240171149493,9.001093478292209,109,Converged
3.5,Adagrad,0.1,2.9792239647544947,9.001093478292013,28,Converged
3.5,Adam,0.01,2.9791713942464795,9.001093620910071,187,Converged
3.5,Adam,0.05,2.979223548977383,9.001093478300504,260,Converged
3.5,Adam,0.1,2.9792238469130017,9.001093478292608,282,Converged
