Optimizer,Learning Rate,x,y,"f(x,y)",Iterations,Time (s),Status
Gradient Descent,0.01,,,,10000,0.13899636268615723,Diverged
Gradient Descent,0.05,,,,10000,0.11892533302307129,Diverged
Gradient Descent,0.1,,,,10000,0.17640209197998047,Diverged
Momentum,0.01,,,,10000,0.11824440956115723,Diverged
Momentum,0.05,,,,10000,0.12181544303894043,Diverged
Momentum,0.1,,,,10000,0.17429614067077637,Diverged
RMSprop,0.01,0.9801426071994833,0.9755309375808241,0.022450745431916035,10000,0.22324895858764648,Hit max_iter (not converged)
RMSprop,0.05,0.7250000002938213,0.46562500045221145,0.4356249995243515,10000,0.18749499320983887,Hit max_iter (not converged)
RMSprop,0.1,0.3000000007587716,0.015000000439034891,1.0524999991811406,10000,0.16454315185546875,Hit max_iter (not converged)
Adagrad,0.01,-1.0718875476836307,1.155444451317328,4.296945007852083,10000,0.15358543395996094,Hit max_iter (not converged)
Adagrad,0.05,0.8954217814144251,0.8014553244542567,0.010947156046536264,10000,0.149261474609375,Hit max_iter (not converged)
Adagrad,0.1,0.9892989059035935,0.9786804752810585,0.00011461485673424408,10000,0.14592504501342773,Hit max_iter (not converged)
Adam,0.01,0.9999994880020494,0.9999989745073553,2.623660039960696e-13,4520,0.09838175773620605,Converged
Adam,0.05,0.9999996835827512,0.9999993662393895,1.0020566241901703e-13,2105,0.045679569244384766,Converged
Adam,0.1,0.9999997579692405,0.9999995152293744,5.862918009001099e-14,1541,0.05795121192932129,Converged
