Distance,K,Accuracy
euclidean,3,0.28
euclidean,4,0.26
euclidean,9,0.235
euclidean,20,0.26
euclidean,47,0.255
manhattan,3,0.28
manhattan,4,0.3
manhattan,9,0.265
manhattan,20,0.265
manhattan,47,0.265
minkowski,3,0.205
minkowski,4,0.21
minkowski,9,0.215
minkowski,20,0.21
minkowski,47,0.205
cosine,3,0.27
cosine,4,0.24
cosine,9,0.26
cosine,20,0.26
cosine,47,0.25
hamming,3,0.245
hamming,4,0.25
hamming,9,0.28
hamming,20,0.265
hamming,47,0.26
